acct_id,dsply_nm,type,acct_stat,acct_rptng_crncy,prior_sar_count,branch_id,open_dt,close_dt,initial_deposit,tx_behavior_id,bank_id,first_name,last_name,street_addr,city,state,country,zip,gender,birth_date,ssn,lon,lat
0,C_0,I,A,USD,false,1,0,1000000,69998.79,,bank,Steven,Collins,48764 Howard Forge Apt. 421,Vanessaside,VT,US,79393,Male,2007-05-02,076-88-5410,73.479690,60.2738415
1,C_1,I,A,USD,false,1,0,1000000,93234.73,,bank,Ronald,Cook,9387 Grimes Green Apt. 801,Pagetown,RI,US,65195,Male,2007-05-24,334-91-1032,-77.421639,62.3400045
2,C_2,I,A,USD,false,1,0,1000000,77066.12,,bank,Robin,Fernandez,711 Golden Overpass,West Andreaville,OH,US,44115,Female,2016-10-20,618-71-9628,-25.565183,29.450832
3,C_3,I,A,USD,true,1,0,1000000,71972.44,,bank,Stephanie,Leblanc,9342 Lori Bypass Suite 711,East Sandra,GU,US,11019,Female,1981-07-30,700-51-8595,-32.020057,50.066962
4,C_4,I,A,USD,false,1,0,1000000,75515.07,,bank,Lorraine,Bruce,969 Hayes Shore,Christopherville,NM,US,77450,Female,1941-01-29,017-94-4441,-117.114006,-30.820575
5,C_5,I,A,USD,false,1,0,1000000,52923.09,,bank,Barbara,Davis,6012 Brandon Ports,North Davidborough,PA,US,75992,Female,2021-06-27,119-05-9921,-168.383986,-37.764890
6,C_6,I,A,USD,false,1,0,1000000,78944.45,,bank,Christopher,Gordon,086 Mary Cliff,North Deborah,MI,US,57657,Male,1913-05-12,611-13-6411,-72.971675,-20.171012
7,C_7,I,A,USD,false,1,0,1000000,70344.43,,bank,Shelly,Lowery,230 Megan Junctions Suite 197,North Thomas,MT,US,75095,Female,1996-04-27,366-50-4112,-97.637148,60.484975
8,C_8,I,A,USD,false,1,0,1000000,51698.17,,bank,James,Perry,150 Taylor Track Suite 594,Brittanyberg,VT,US,41172,Male,1996-07-31,083-01-9742,-76.754602,-0.234729
9,C_9,I,A,USD,false,1,0,1000000,85599.49,,bank,Amy,Miles,769 Johnson Well,Bartonton,GA,US,58874,Female,1968-10-01,541-63-9199,144.257890,-89.9814355
10,C_10,I,A,USD,false,1,0,1000000,59642.17,,bank,Nicole,Baird,4706 Amy Roads Apt. 206,Stewartborough,AL,US,94522,Female,1999-12-22,542-79-1603,-77.747603,-58.081979
11,C_11,I,A,USD,false,1,0,1000000,81854.02,,bank,Brandi,Meyer,4217 Burton Brooks,Robinville,MP,US,34119,Female,1996-07-28,661-45-1886,-97.085583,-15.2649345
12,C_12,I,A,USD,false,1,0,1000000,82999.37,,bank,Jaime,Medina,34855 Meghan Squares,Josephmouth,SC,US,57575,Male,1936-04-15,385-76-4769,-175.223413,-52.8332455
13,C_13,I,A,USD,false,1,0,1000000,57234.93,,bank,John,Allen,5159 Blake Estates Apt. 945,Haysberg,LA,US,15560,Male,1914-07-27,316-23-8570,-141.955780,-8.752464
14,C_14,I,A,USD,false,1,0,1000000,55687.91,,bank,Melissa,Moore,6118 Wells Ville Suite 171,Simmonsport,MA,US,96806,Female,1930-09-02,642-73-6154,162.995295,-66.6671135
15,C_15,I,A,USD,false,1,0,1000000,90701.97,,bank,Daniel,Miller,30601 Hawkins Highway,Morashire,VT,US,89538,Male,1937-12-18,268-75-2730,51.510024,-38.4751525
16,C_16,I,A,USD,false,1,0,1000000,62847.10,,bank,Loretta,Garcia,087 David Locks,Jaredton,AS,US,28798,Female,1970-05-23,388-47-8953,-98.752978,-61.882385
17,C_17,I,A,USD,false,1,0,1000000,97084.04,,bank,Shannon,Morrison,930 Thornton Summit,Lisaton,NC,US,19947,Male,1929-03-22,863-49-9552,-21.954682,36.2804625
18,C_18,I,A,USD,false,1,0,1000000,96205.32,,bank,Sheila,Murray,013 Billy Bridge,Riveraburgh,AS,US,20007,Female,1958-07-16,518-49-8681,89.739300,-80.975734
19,C_19,I,A,USD,false,1,0,1000000,52172.24,,bank,Mary,Smith,634 Petersen Orchard,Lawsonbury,MH,US,03185,Female,1932-10-07,310-65-9344,-43.388149,-0.6953315
20,C_20,I,A,USD,false,1,0,1000000,97126.12,,bank,Michelle,Nunez,6660 Danielle Crossroad Apt. 450,South Robertfort,PW,US,79401,Female,1928-08-08,830-46-6737,-161.112995,74.220991
21,C_21,I,A,USD,true,1,0,1000000,92581.92,,bank,Timothy,Santos,17200 Crystal Cove Suite 367,North Chelseamouth,RI,US,83379,Male,2000-11-22,731-80-4856,-111.758809,14.0578475
22,C_22,I,A,USD,false,1,0,1000000,74766.94,,bank,John,Santana,306 Watson Field,Kellyland,AZ,US,05741,Male,1978-10-13,683-73-9369,-64.046951,-28.352392
23,C_23,I,A,USD,true,1,0,1000000,93737.56,,bank,Jeffrey,Butler,412 Snow Manors Apt. 161,South Kimtown,WY,US,59053,Male,1975-08-05,885-42-4139,-137.834941,4.624310
24,C_24,I,A,USD,false,1,0,1000000,55723.35,,bank,Todd,Martinez,055 Alejandro Fort Suite 192,North Jamie,TX,US,96459,Male,1908-12-24,301-48-0404,144.725425,-27.491287
25,C_25,I,A,USD,false,1,0,1000000,71347.52,,bank,Mark,White,1754 Anthony Fords,Matthewport,LA,US,73010,Male,1919-01-01,106-69-9517,-14.771265,-48.0158735
26,C_26,I,A,USD,false,1,0,1000000,71281.11,,bank,Michaela,Anderson,35833 Kelly Manor,Port Davidtown,MO,US,10714,Female,1948-09-30,564-54-2332,137.331791,23.330428
